gene,total_mutated,high_risk_mutated,high_risk_rate,low_risk_mutated,low_risk_rate,odds_ratio,fisher_p,FDR_BH,significant_after_FDR,Bonferroni_p,significant_Bonferroni
TP53,115,61,40.397350993377486,27,17.880794701986755,3.1127572016460907,2.4893090377097523e-05,0.0004978618075419505,True,0.0004978618075419505,True
CTNNB1,97,55,36.42384105960264,24,15.89403973509934,3.0316840277777777,7.377721548265504e-05,0.0007377721548265505,True,0.001475544309653101,True
ALB,43,19,12.582781456953644,13,8.609271523178808,1.527972027972028,0.3500717474165715,0.5834529123609525,False,1.0,False
APOB,39,17,11.258278145695364,13,8.609271523178808,1.3467278989667049,0.5644822599722759,0.7056028249653448,False,1.0,False
ARID1A,32,15,9.933774834437086,9,5.960264900662252,1.7401960784313726,0.287335582537071,0.5224283318855836,False,1.0,False
AXIN1,24,5,3.3112582781456954,12,7.947019867549669,0.396689497716895,0.1320796047057581,0.4402653490191937,False,1.0,False
ARID2,22,8,5.298013245033113,7,4.635761589403973,1.150849150849151,1.0,1.0,False,1.0,False
RB1,21,5,3.3112582781456954,11,7.28476821192053,0.435865504358655,0.1977515686272729,0.5224283318855836,False,1.0,False
BAP1,21,5,3.3112582781456954,15,9.933774834437086,0.3105022831050228,0.0349107111849605,0.145170088718614,False,0.69821422369921,False
KEAP1,17,13,8.609271523178808,3,1.9867549668874176,4.647342995169082,0.0180568536917777,0.12037902461185133,False,0.361137073835554,False
RPS6KA3,14,4,2.6490066225165565,7,4.635761589403973,0.5597667638483965,0.5411806212050151,0.7056028249653448,False,1.0,False
NFE2L2,13,6,3.9735099337748343,3,1.9867549668874176,2.0413793103448277,0.5011722523676047,0.7056028249653448,False,1.0,False
PIK3CA,13,4,2.6490066225165565,7,4.635761589403973,0.5597667638483965,0.5411806212050151,0.7056028249653448,False,1.0,False
TSC2,12,8,5.298013245033113,1,0.6622516556291391,8.391608391608392,0.0362925221796535,0.145170088718614,False,0.72585044359307,False
CDKN2A,11,6,3.9735099337748343,2,1.3245033112582782,3.0827586206896553,0.2824669936458938,0.5224283318855836,False,1.0,False
BRD7,10,2,1.3245033112582782,6,3.9735099337748343,0.3243847874720358,0.2824669936458938,0.5224283318855836,False,1.0,False
ATM,9,4,2.6490066225165565,4,2.6490066225165565,1.0,1.0,1.0,False,1.0,False
TSC1,9,5,3.3112582781456954,3,1.9867549668874176,1.6894977168949772,0.7228734735375582,0.8504393806324214,False,1.0,False
BACH1,4,3,1.9867549668874176,0,0.0,inf,0.2475083056478405,0.5224283318855836,False,1.0,False
GSR,3,0,0.0,1,0.6622516556291391,0.0,1.0,1.0,False,1.0,False
