Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Library
GO_Biological_Process_2023,Cellular Response To Oxidative Stress (GO:0034599),7/117,9.293079970830776e-12,2.0165983536702783e-09,0,0,105.37651515151516,2676.748007756753,NQO1;MSRA;G6PD;SRXN1;GSR;HMOX1;SQSTM1,GO_Biological_Process_2023
GO_Biological_Process_2023,Cellular Response To Chemical Stress (GO:0062197),5/89,1.7238513958005513e-08,1.870378764443598e-06,0,0,84.59608843537416,1512.249809177537,NQO1;MSRA;G6PD;SRXN1;GSR,GO_Biological_Process_2023
GO_Biological_Process_2023,Response To Reactive Oxygen Species (GO:0000302),4/66,4.037891499675438e-07,2.9207415180985667e-05,0,0,85.67311827956989,1261.3116034917416,CAT;HMOX1;GLRX2;SQSTM1,GO_Biological_Process_2023
GO_Biological_Process_2023,Response To Hydrogen Peroxide (GO:0042542),3/46,1.075188905173167e-05,0.0005832899810564431,0,0,86.93895348837209,994.6189328108296,CAT;HMOX1;GLRX2,GO_Biological_Process_2023
GO_Biological_Process_2023,Pentose-Phosphate Shunt (GO:0006098),2/11,4.678583530599793e-05,0.001739449977546,0,0,261.0718954248366,2602.868539389068,G6PD;PGD,GO_Biological_Process_2023
GO_Biological_Process_2023,NADPH Regeneration (GO:0006740),2/12,5.6111289598260925e-05,0.001739449977546,0,0,234.95294117647057,2299.760158461114,G6PD;PGD,GO_Biological_Process_2023
GO_Biological_Process_2023,Multicellular Organismal-Level Iron Ion Homeostasis (GO:0060586),2/12,5.6111289598260925e-05,0.001739449977546,0,0,234.95294117647057,2299.760158461114,TFR2;HMOX1,GO_Biological_Process_2023
GO_Biological_Process_2023,Nicotinamide Nucleotide Metabolic Process (GO:0046496),2/17,0.00011529687235353156,0.003125659275276,0,0,156.59607843137255,1420.0132794951876,G6PD;ME1,GO_Biological_Process_2023
GO_Biological_Process_2023,Glucose 6-Phosphate Metabolic Process (GO:0051156),2/18,0.00012963563814508892,0.003125659275276,0,0,146.8014705882353,1313.9880817962558,G6PD;PGD,GO_Biological_Process_2023
GO_Biological_Process_2023,NADP Metabolic Process (GO:0006739),2/19,0.00014480495711163393,0.0031422675693224,0,0,138.159169550173,1221.3440309041307,G6PD;ME1,GO_Biological_Process_2023
GO_Molecular_Function_2023,Adenyl Nucleotide Binding (GO:0030554),4/31,1.8002232753104702e-08,9.72120568667654e-07,0,0,197.07654320987655,3514.4206763062466,G6PD;CAT;ME1;PGD,GO_Molecular_Function_2023
GO_Molecular_Function_2023,NADP Binding (GO:0050661),3/35,4.666445639215671e-06,0.0001259940322588231,0,0,116.888671875,1434.821641794965,G6PD;ME1;PGD,GO_Molecular_Function_2023
