,TXNRD1,MAFG,G6PD,SQSTM1,SLC7A11,GSR,NCF2,MSRA,HMOX1,GLRX2,BACH1
TXNRD1,1.0,0.6612219317463198,0.3786671796043656,0.6397552276404292,0.5569641375255572,0.5037183989460089,0.2629355386749869,-0.06694076593419832,0.2128988437335736,0.13131976219409927,0.3190176952614185
MAFG,0.6612219317463198,1.0,0.5004843645131053,0.4975156577064496,0.5559511871179753,0.3028780205252049,0.32854117076577516,-0.27689769703026934,0.2375285668321733,0.016971167183543773,0.19399915173581558
G6PD,0.3786671796043656,0.5004843645131053,1.0,0.31921157176992476,0.490029681625333,0.28677319999276774,0.45149634542781464,-0.3099804358997428,0.3234690127612132,-0.04157627718070003,0.05259216159454497
SQSTM1,0.6397552276404292,0.4975156577064496,0.31921157176992476,1.0,0.42619790371547195,0.1791185851110248,0.22536619242439523,0.03452461371194874,0.19837640405258541,0.37618865101255505,0.012534225194317633
SLC7A11,0.5569641375255572,0.5559511871179753,0.490029681625333,0.42619790371547195,1.0,0.30143901041934035,0.3185711604741106,-0.1921621382882086,0.18218011107818222,0.0697953404276176,0.14455782590780863
GSR,0.5037183989460089,0.3028780205252049,0.28677319999276774,0.1791185851110248,0.30143901041934035,1.0,0.27776556670430197,0.025487354350272984,0.058607561488806026,-0.23572096636340378,0.4467012783432751
NCF2,0.2629355386749869,0.32854117076577516,0.45149634542781464,0.22536619242439523,0.3185711604741106,0.27776556670430197,1.0,-0.10128827672320817,0.4272042724282989,-0.05411420699979261,0.24888711616535794
MSRA,-0.06694076593419832,-0.27689769703026934,-0.3099804358997428,0.03452461371194874,-0.1921621382882086,0.025487354350272984,-0.10128827672320817,1.0,0.08756356263115256,0.22015507726143213,-0.21455528976804744
HMOX1,0.2128988437335736,0.2375285668321733,0.3234690127612132,0.19837640405258541,0.18218011107818222,0.058607561488806026,0.4272042724282989,0.08756356263115256,1.0,0.008823560485828495,0.09774534690933616
GLRX2,0.13131976219409927,0.016971167183543773,-0.04157627718070003,0.37618865101255505,0.0697953404276176,-0.23572096636340378,-0.05411420699979261,0.22015507726143213,0.008823560485828495,1.0,-0.3721213828276173
BACH1,0.3190176952614185,0.19399915173581558,0.05259216159454497,0.012534225194317633,0.14455782590780863,0.4467012783432751,0.24888711616535794,-0.21455528976804744,0.09774534690933616,-0.3721213828276173,1.0
