Gene,HR,CI_low,CI_high,p_value,significant_005,significant_010
TXNRD1,1.5964263894755077,1.373694375255242,1.855272368382714,1.0519772308583986e-09,True,True
MAFG,1.6731651763664879,1.4151220920711631,1.978261609433429,1.7142507146368058e-09,True,True
G6PD,1.3718552065968845,1.231641319275407,1.5280314799556913,9.059332228951421e-09,True,True
SQSTM1,1.3390885062715487,1.187700825298712,1.5097724859941735,1.8398003116835521e-06,True,True
GCLM,1.339548714036424,1.1794772312761952,1.521344125765874,6.724080199175001e-06,True,True
SRXN1,1.4017312791058774,1.2008508342701256,1.6362153589359252,1.8757380344036224e-05,True,True
SLC7A11,1.2182778202558229,1.101071836284449,1.347960049850783,0.0001304719152058756,True,True
ME1,1.30034462184396,1.1366209980599173,1.4876516784791751,0.000130710245601816,True,True
GSR,1.3502684837896222,1.14884422273307,1.5870080052960716,0.0002690377270379819,True,True
PGD,1.254703495870118,1.1074972950101722,1.4214760339746344,0.0003659194416564291,True,True
NCF2,1.2497615363354855,1.098952755328276,1.4212657369761683,0.0006785473461499408,True,True
NQO1,1.2184097568549126,1.0756397773175055,1.3801296371741083,0.001892229211571998,True,True
MSRA,0.7157286605036753,0.5758161144711661,0.8896373383660089,0.0025808339094319584,True,True
HMOX1,1.148937774929729,1.034645829421078,1.2758549574390077,0.009402371200509638,True,True
CAT,0.76571577779916,0.6253716333448596,0.9375555607384697,0.009761761917813088,True,True
GLRX2,1.2277689381824293,1.0482886857128628,1.437978474927952,0.010933501265723974,True,True
PRDX1,1.178144137357191,1.0155554358834145,1.366763013957679,0.030488605615311182,True,True
FTL,1.1702181003151162,1.0112616787018909,1.3541602842727782,0.03483172324870831,True,True
GPX2,1.1549485538558388,0.995866352736426,1.3394429467251372,0.05675642563923444,False,True
HMOX2,0.8149402098943587,0.659337825184025,1.0072644406792521,0.058356822984473394,False,True
GLRX,1.131037189843908,0.9732838405884948,1.3143597699480045,0.10813404514984121,False,False
PRDX2,0.8667072632998681,0.7260119432140607,1.0346682134886935,0.11345198038362667,False,False
CYBB,1.119225446121585,0.9719147544586629,1.2888636513639207,0.11774070886780415,False,False
SOD1,0.8642767220785605,0.7170479470508682,1.041735431220571,0.12580893076065788,False,False
PRDX3,0.8812710674371932,0.7389033072911458,1.0510694520357255,0.15974901928033158,False,False
TXN,1.1119203361790504,0.9409862474871913,1.3139053172244812,0.21286719406106444,False,False
RAC1,1.0752168614836484,0.9545513961515053,1.2111357270858294,0.2324383424166852,False,False
KEAP1,1.0980203443534329,0.9340351210683812,1.2907958698972362,0.2571853177069329,False,False
ALOX12,1.1190958043045496,0.9136584277252094,1.3707260626163777,0.27687916939395874,False,False
SOD3,0.8269562738810697,0.5552201456675135,1.2316856372152996,0.3499073589694771,False,False
NOX1,1.059420442273816,0.9353577458063296,1.1999383963406451,0.36369467531182653,False,False
FTH1,1.072867298435671,0.9216533433472769,1.2488906467504066,0.36419314068584663,False,False
NOX4,0.9142761717659011,0.7278251878171311,1.1484913304057496,0.44119123120634196,False,False
SOD2,1.062547157497647,0.9089862534653839,1.2420500943794797,0.4461930837356428,False,False
NFE2L2,1.0626696719933457,0.8997584903820169,1.2550777167937408,0.47405372010888047,False,False
ALOX15,1.0335840480324077,0.9224895191646388,1.1580575845614536,0.5691150213037364,False,False
NCF1,1.042638437741925,0.8819314577123304,1.232629704213944,0.6249225309341544,False,False
ALOX5,1.0325788402605072,0.876397657953798,1.2165927780354056,0.7016054480579627,False,False
PTGS2,0.9536011605554876,0.7136105818138001,1.2743016942117704,0.7480615851135328,False,False
GPX1,0.9842864515324683,0.8335477824848466,1.162284681248001,0.8518574368466147,False,False
GPX3,1.0101690556839604,0.8920684990521077,1.1439048931172022,0.8732769780660525,False,False
GCLC,0.9856170294763406,0.8112741251800231,1.1974262442774215,0.8840261569001353,False,False
GPX4,1.0054653978578856,0.8648248916455684,1.1689772993997478,0.943478962733143,False,False
