cell_type,spearman_r,p_value
NK cells,-0.16833774420543418,0.0033437190467034035
Macrophages M1,0.11598629445572003,0.044002129346797564
Eosinophils,0.11570766613971595,0.04451598931723951
Neutrophils,0.11211399241616096,0.0516073855307949
T cells CD8+,-0.10822339191961926,0.060320535227397935
T cells CD4+,0.10453799554781115,0.06965979512393199
Macrophages M2,0.08127629994743552,0.15886294256867475
T regs,0.0774784987684485,0.17931455481709035
Dendritic cells,0.07418434083403062,0.19857840645912572
B cells,-0.06441165777267262,0.2644767353790294
Mast cells,0.02243543313210114,0.697780500538569
Monocytes,0.01612290115064619,0.7802123140906825
