gene,total_mutated,high_risk_mutated,high_risk_rate,low_risk_mutated,low_risk_rate,odds_ratio,fisher_p
TP53,115,61,40.397350993377486,27,17.880794701986755,3.1127572016460907,2.4893090377097523e-05
CTNNB1,97,55,36.423841059602644,24,15.894039735099339,3.0316840277777777,7.377721548265504e-05
ALB,43,19,12.582781456953644,13,8.609271523178808,1.527972027972028,0.3500717474165715
APOB,39,17,11.258278145695364,13,8.609271523178808,1.3467278989667049,0.5644822599722759
ARID1A,32,15,9.933774834437086,9,5.960264900662252,1.7401960784313726,0.28733558253707103
AXIN1,24,5,3.3112582781456954,12,7.9470198675496695,0.396689497716895,0.1320796047057581
ARID2,22,8,5.298013245033113,7,4.635761589403973,1.150849150849151,1.0
RB1,21,5,3.3112582781456954,11,7.28476821192053,0.43586550435865506,0.19775156862727294
BAP1,21,5,3.3112582781456954,15,9.933774834437086,0.3105022831050228,0.03491071118496059
KEAP1,17,13,8.609271523178808,3,1.9867549668874174,4.647342995169082,0.018056853691777786
RPS6KA3,14,4,2.6490066225165565,7,4.635761589403973,0.5597667638483965,0.5411806212050151
NFE2L2,13,6,3.9735099337748347,3,1.9867549668874174,2.0413793103448277,0.5011722523676047
PIK3CA,13,4,2.6490066225165565,7,4.635761589403973,0.5597667638483965,0.5411806212050151
TSC2,12,8,5.298013245033113,1,0.6622516556291391,8.391608391608392,0.03629252217965351
CDKN2A,11,6,3.9735099337748347,2,1.3245033112582782,3.0827586206896553,0.2824669936458938
BRD7,10,2,1.3245033112582782,6,3.9735099337748347,0.3243847874720358,0.2824669936458938
ATM,9,4,2.6490066225165565,4,2.6490066225165565,1.0,1.0
TSC1,9,5,3.3112582781456954,3,1.9867549668874174,1.6894977168949772,0.7228734735375582
BACH1,4,3,1.9867549668874174,0,0.0,inf,0.24750830564784052
GSR,3,0,0.0,1,0.6622516556291391,0.0,1.0
