Gene name,B-Cells,Cholangiocytes,Endothelial Cells,Erythroid Cells,Fibroblasts,Hepatocytes,Kupffer Cells,Plasma Cells,Smooth Muscle Cells,T-Cells
TXNRD1,0.0,20.0,30.0,7.0,26.0,109.0,44.75,83.0,213.0,25.0
MAFG,4.0,19.0,20.0,8.0,33.0,23.2,50.5,29.0,73.0,10.75
G6PD,6.0,8.0,13.0,5.0,9.0,0.8,50.5,57.0,61.0,64.25
SQSTM1,16.0,157.0,110.0,11.0,103.0,456.4,142.75,231.0,443.0,117.25
SLC7A11,0.0,1.0,0.0,1.0,4.0,0.6,0.0,4.0,3.0,0.25
GSR,1.0,18.0,23.0,6.0,9.0,60.2,43.0,38.0,17.0,19.0
NCF2,6.0,4.0,8.0,0.0,1.0,0.8,137.25,18.0,5.0,2.0
MSRA,3.0,13.0,15.0,1.0,17.0,162.8,33.5,36.0,43.0,18.0
HMOX1,2.0,6.0,18.0,2.0,22.0,32.4,806.0,23.0,37.0,5.0
GLRX2,7.0,7.0,13.0,2.0,13.0,64.4,16.5,63.0,36.0,14.0
BACH1,4.0,10.0,27.0,2.0,24.0,34.6,55.25,37.0,40.0,9.0
